Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,SH.DYN.NMRT,SH.DYN.MORT,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Saudi Arabia,6.343999863,2017,0,0,0,0,0,39.78223428,0,0,0,0,0,6.87E+11,34.20132033,0,3.9,7.4,0,0,0,2149690,0,63.4036289,5.889999866,0
Senegal,4.534999847,2017,0,75.1737,0,0,0,84.80830934,0,0,0,18.05351,0,21070225735,14.8746099,69.47841,20.5,45.4,18.88356,32.81273,0,196710,15.04296373,57.13584648,0,0
Serbia,5.394999981,2017,0,98.56031,0,0,0,51.10318111,0,0,0,0,0,41431648801,12.18844191,0,3.7,5.7,8.08165,14.28392,0,88360,0,113.7094059,13.47700024,0
Sierra Leone,4.709000111,2017,0,0,0,0,0,80.59912683,0,0,20.22571,0,0,3775047334,-3.489500867,0,33.5,110.5,0,39.43821,0,72300,0,74.08529383,0,0
Singapore,6.572000027,2017,0,0,0,0,0,38.70257646,0,0,0,15.16018364,0,3.24E+11,53.50235365,0,1.1,2.8,0,0,0,719.0000153,14.82610841,322.4281244,0,0
Slovenia,5.757999897,2017,0,0,0,0,0,51.57063705,0,0,0,0,0,48769655479,28.9439839,0,1.2,2.1,0,0,0,20675,0,154.7639999,6.564400196,0
Somalia,5.151000023,2017,0,0,0,0,0,96.70928594,0,0,0,0,0,7052000000,-35.49597298,0,38.5,127.2,0,0,0,637660,0,80.77885942,0,0
South Africa,4.828999996,2017,0,0,0,0,0,52.27519871,0,0,29.41027,0,0,3.49E+11,19.63908398,0,10.7,37.1,0,0,0,1219090,0,58.17962819,27.32659912,0
South Sudan,3.59100008,2017,0,0,0,0,0,82.19839475,0,0,18.49517,0,0,0,0,0,39.6,96.4,0,0,0,0,0,0,0,0
Spain,6.402999878,2017,0,0,0,0,0,51.80006602,0,0,0,0,0,1.31E+12,23.81181133,0,1.7,3.1,0,0,0,505935,0,65.51885341,17.22360039,0
Sri Lanka,4.440000057,2017,0,99.29702,0,0,0,51.70174209,0,0,51.1788,16.56269945,0,87357205923,29.4639534,98.85646,5.8,8.8,0,22.93257,0,65610,12.54142565,50.96906456,4.179999828,0
Sudan,4.138999939,2017,0,0,0,0,0,79.76079277,0,0,0,0,0,1.17E+11,20.86598615,0,29.5,63.2,0,0,0,0,0,21.50714664,0,0
Sweden,7.28399992,2017,0,0,0,0,0,60.05133919,0,0,0,0,0,5.38E+11,29.88794976,0,1.7,2.8,0,0,0,447430,0,86.44207049,6.718299866,0
Switzerland,7.493999958,2017,0,0,0,0,0,49.94894555,0,0,0,17.41078405,0,6.79E+11,34.33987046,0,3,4.2,0,0,0,41290.40039,10.49462556,118.9042078,4.796700001,0
Tajikistan,5.040999889,2017,0,98.53461,0,0,0,63.1792893,0,0,0,0,0,7146449583,-0.379705401,0,14.5,33.6,0,22.30051,0,141380,0,56.73322422,0,0
Tanzania,3.348999977,2017,0,79.79935,0,0,0,92.3738125,0,0,0,0,0,52090321003,23.69779139,0,21.1,54,17.11346,47.15284,0,947300,0,32.62094713,0,0
Thailand,6.423999786,2017,0,0,0,0,0,40.23655371,0,0,0,18.39809011,0,4.55E+11,34.83477063,0,5.3,9.5,24.16351,16.22081,0,513120,14.81390013,122.8028467,0,0
Togo,3.494999886,2017,0,91.64536,0,0,0,79.92109742,0,0,0,15.41712948,0,4757776485,6.312723385,0,25.4,72.9,0,40.12613,0,56790,17.48824581,101.135071,0,0
Trinidad and Tobago,6.168000221,2017,0,0,0,0,0,44.24854843,0,0,0,0,0,22079017627,0,0,16.6,26.1,0,0,0,5130,0,0,0,0
Tunisia,4.804999828,2017,0,0,0,0,0,47.08210655,0,0,0,0,0,39952095561,7.399640596,0,7.5,13,0,0,0,163610,0,99.47651616,15.37930012,0
Turkey,5.5,2017,0,0,0,0,0,49.49866258,0,0,0,31.96251682,0,8.52E+11,26.4566264,0,5.9,11.6,0,0,0,785350,17.87310647,54.12201097,10.81919956,0
