ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Chad,2016,8.83089828491211,..,-11.1288286093578,-13.8537111562103,1.76679083894578,..,99.42601630728,43.331,..,..,..,..,12.953,..,..,..,..,10090922857.3905,-6.25552708545281,20.412692486631,30.79161,-2.10318047290033,35.4,126.9,14452543,28.44071,56.88788,..,1284000,..,63.2969251336898,..,..
Channel Islands,2016,100,..,..,..,..,..,47.6339590137458,9.332,..,..,..,..,8.998,..,..,..,..,..,..,..,..,..,..,..,164541,..,..,..,197.999992370605,..,..,..,..
Chile,2016,100,92.94523,2.0703508943615,1.23216000033321,4.57,20.78542163,45.5537828614934,13.281,..,..,..,..,6.115,28.08302,29.06897,22.2013519159478,..,250036180921.053,1.26586760300135,23.1002929476878,..,-2.35976747508863,5.2,7.7,17909754,..,..,..,756700,17.4174411372888,55.5127031940354,6.73820018768311,..
China,2016,100,..,6.04962268997431,5.47693865075749,1.79,46.23855895,38.549146051708,12,..,..,..,..,7.3,..,..,8.52763623992999,..,11190992550229.5,6.69999999999993,46.2186800616607,..,..,5.1,10,1378665000,13.49871,16.54936,..,9562910,9.15738553603272,37.03381667784,..,..
Colombia,2016,99.0044555664063,93.58118,1.64420513570143,0.756897912880248,3.42476124014368,19.50975647,45.3930293588412,15.198,..,..,..,..,6.009,35.98056,34.68962,29.9174060749389,..,282856115393.175,1.96261426732217,16.4199301520934,98.66831,2.78086763070078,8.3,15.2,48653419,26.18799,24.31808,..,1141748.984375,13.195965441608,35.9199284157351,8.69180011749268,..
Comoros,2016,77.8442153930664,..,8.23039021194253,5.75766355262151,4.31387796015044,..,75.1352695926283,32.856,..,..,..,..,7.389,..,..,..,..,1024261820.6281,2.1881974557357,0.213808893484111,..,..,32.3,71.1,795601,..,..,..,1861.00006103516,..,36.8804975117825,..,..
"Congo, Dem. Rep.",2016,17.1473789215088,..,-1.7137059524796,-4.88380476931759,2.06,12.56759561,97.4964905285973,42.28,..,..,..,..,9.934,..,..,..,..,37134799974.5225,2.39937909829004,9.38761003944179,84.98951,8.64552309044689,29.4,94.4,78736153,..,..,..,2344860,..,59.5908463428979,..,..
"Congo, Rep.",2016,56.5661697387695,..,-21.6780197528608,-23.6670488537035,2.52,..,84.3862288965541,34.629,..,..,..,..,7.331,..,..,..,..,9035848070.90357,-2.80001878768313,8.54868082082258,..,-0.518723575074134,19.8,49.4,5125821,..,..,..,342000,..,152.142345789697,..,..
Costa Rica,2016,100,96.79008,4.9130221992979,3.84554867749662,7.07150884407115,15.87062489,45.2005220586521,14.289,..,..,..,..,4.941,34.0248,31.99655,27.9489217330143,..,57157992434.219,4.24598987825375,18.6409024919893,..,4.51430657561889,6,9.2,4857274,12.73154,11.97865,..,51100,13.9101012473746,63.9275351985885,..,..
Cote d'Ivoire,2016,64.3,87.65058,31.4125787072835,28.1547213047553,4.88615246641483,..,83.4428128468934,36.832,..,..,..,..,12.227,..,..,18.3651130717028,..,35389998638.9371,7.97174573809407,20.7389215349554,..,0.245365659689512,34.1,91.8,23695919,25.83658,42.50102,..,322460,15.7065650315498,63.7483776166493,2.59920001029968,..
Croatia,2016,100,97.64825,-0.726770678600047,-0.0310362482020281,4.5253855271505,23.26896758,51.5350073147446,9,..,..,..,..,12.3,..,..,..,..,51640880494.2725,3.53612954934364,23.5500127429046,..,5.96286439621139,3,4.7,4174349,6.73221,13.50611,..,56590,..,94.6927092915316,13.1034002304077,..
Cuba,2016,100,95.75426,..,..,13.01,..,43.8170658089428,10.865,..,..,..,..,8.003,..,..,..,..,91370000000,0.513761467889907,12.255663784612,..,-5.20471894517695,2.3,5.5,11475982,9.34814,8.74431,..,109880,..,27.2693444237715,..,..
Curacao,2016,100,..,..,..,..,..,53.2107626760834,11.2,..,..,..,..,9.3,..,..,..,..,..,..,..,..,..,..,..,159663,..,..,..,444,..,..,..,..
Cyprus,2016,100,..,-0.444509229678729,-1.04574810178471,6.19592786644448,11.6358092,42.8476381384424,10.834,..,..,..,..,6.893,..,..,36.07045894582,..,20453761061.9469,4.81218762402544,16.0196212047463,..,12.659660694821,1.6,2.8,1170125,..,..,..,9250,23.9689132621605,129.6708526679,12.9497995376587,..
Czech Republic,2016,100,..,..,..,3.92681744045241,28.68761472,50.9527539583137,10.7,..,..,..,..,10.2,..,..,32.9438913610043,..,195305084919.138,2.593326020384,33.8232102303676,..,7.01406637784088,1.7,3.2,10566332,..,..,..,78870,14.6586385767319,151.598767294333,3.9514000415802,..
Denmark,2016,100,99.0209,0.463064422866751,-0.317890720290649,7.8318956765332,27.59938391,56.3115025198636,10.8,..,..,..,..,9.2,..,..,39.2313120957694,..,306899653409.601,1.96407712946747,27.1714581391139,..,5.38470228370815,3.1,4.3,5728010,..,..,..,42920,33.7391007191807,100.974122466919,6.18069982528687,..
