Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Cyprus,5.689,2015,100,97.82834,7.4435642886382,7.44339567002848,6.19592786644448,12.70479294,42.3046044285373,10.984,6.842,32.20746,41.3118,38.7517877247969,1.34005482,1.96806254851946E10,1.9623040096572,14.3995667760997,..,5.73302993587281,1.7,2.9,1160985,10.35338,11.91513,9.9420660163921,9250,24.0904721171282,128.823251636142,14.9083995819092,..
Czech Republic,6.505,2015,100,..,..,..,3.92681744045241,29.17360895,49.5333030184828,10.5,10.5,13.28089,29.80452,33.4067121968117,..,1.86829940545759E11,5.30923851909814,33.9545187403322,..,5.20455786837992,1.6,3.1,10546059,..,..,14.8285619496241,78870,14.5558221526125,156.099863722896,5.04640007019043,..
Denmark,7.527,2015,100,98.69377,1.82202391313257,1.10526351590492,7.8318956765332,27.91040882,55.9833595296141,10.2,9.2,..,..,40.6432711034637,..,3.01298464861385E11,1.60660899433877,27.2612016725305,..,0.904029111315708,3.1,4.2,5683483,..,..,33.1702771730605,42920,33.9459466392516,104.058935192402,6.16830015182495,..
Djibouti,4.369,2015,52.0257759094238,55.59274,..,..,7.43194220799754,..,56.5136825051262,23.35,8.365,..,..,..,23.01421265,1.63374192268737E9,9.68379811648174,14.4981102363759,..,-7.32046132596686,33.9,65.7,927414,22.77297,33.02204,15.3805952215024,23200,..,107.516747251432,..,..
Dominican Republic,4.885,2015,98.560364,88.74777,10.5282575602072,9.24171395593069,2.51925224689344,22.46326501,57.7573699138525,20.513,6.081,..,..,15.7255052364991,7.30715349,6.88020920209448E10,7.03337106918114,17.6722337562312,97.61406,4.1162776356294,21.2,31.6,10528394,22.09344,18.29098,16.480109206897,48670,13.2499960312919,53.9379181016125,..,..
Ecuador,5.975,2015,98.825883,97.96475,0.404303792556689,-1.09610431978174,3.93,24.92642325,55.5778055356451,20.477,5.127,23.25516,12.11141,..,0.39630956,99290381000,0.0988726083462836,24.1426639303559,99.1262,-0.807951651039019,7.9,15.1,16144368,23.02677,24.70055,13.8166859421647,256370,..,45.243877148583,3.61570000648499,..
El Salvador,6.13,2015,95.4,87.0022,3.17020172613636,2.65881896301082,3.46968374814644,10.78788789,56.8354922254046,18.69,6.691,40.6445,31.77691,23.0307713873765,2.10135279,23166030400,2.37762910510367,-2.49131849537761,97.94933,3.31118222985187,7.6,15.5,6312478,30.84663,29.69441,24.400769994085,21040,16.9495352795099,76.1186085640292,3.99990010261536,111.345097028019
Estonia,5.429,2015,100,93.56631,1.82043998454229,1.75371598256673,5.10963307305955,27.46132529,53.7333370732152,10.6,11.6,23.86188,25.89992,36.5938182985703,0.20767306,2.2566956982229E10,1.67428662282916,27.8171861103312,..,1.98227581311427,1.4,3.1,1315407,..,..,27.4768334658828,45340,21.9701991856671,153.210232763911,6.18660020828247,..
Ethiopia,4.512,2015,33.4185905456543,86.01903,9.27996012218179,6.5376394441279,2.88,29.66242992,82.1200039373342,32.299,6.997,27.45268,18.13888,..,15.30130949,6.44645479152698E10,10.3924630202334,19.7417760345793,..,18.2226440640244,30.8,64.2,99873033,..,..,92.163461141348,1104300,..,39.6561241449515,..,..
Finland,7.406,2015,100,99.19243,1.94971902113841,1.61446551366818,6.65547681525914,20.03323117,57.8657266131337,10.1,9.6,20.24408,37.46822,40.5803324364039,0.00106115,2.32464833065554E11,0.135082255444829,20.2987538405756,..,-1.3137858989341,1.7,2.4,5479531,..,..,43.2352625898503,338446.015625,20.6789946756741,73.459953054331,9.37590026855469,..
